id	occurrences	char	shape_hex
g223	568	枢	0b3ffe0b3aad3ffb5e2bbaec0fb8b42ff8f87b6ade1b3f8d0b3a040b3ffe0b3aa9000000
g224	568	質	2ad6b83fabe93aaba97aebb972ca382ffff82eaab82eaab82eaab81bffe47e82bd000000
g225	562	問	3febfe3aebae3febfe3aebae3a96ae39aa4e3aeb8e3aeb8e3aff8e38006e38003d000000
g226	560	頼	0b0ffebffae96babfc3febac3babfc3babac3febfc1f8bac7febfc2b6b690b0a19000000
g227	552	凝	12eefeb6f9ae2aeaad01bd7802aafe0bfdba2fbab92efebe78b6b822eff901877c000000
g228	546	緒	0d03806c2b9dba7ffe3fabad2ebffe7eabe8bebffc2aeeac7baeacaaeffc5eaeac000000
g229	536	佐	0a0b000eaba92dfffe3c0e00bc2c003c3ffc2cbae82ed2c02c42c02c6ae92cbffe000000
g230	536	資	783aa828bffc049b682d6fe079f4bd2ffff82eaab82eaab82eaab81bffe47e82bd000000
g231	534	稼	6b6ae97e7ffe0e3aaebf8ff86e6b842f6aec3fabb4be6af86e2bee0e2ee80e03d0000000
g232	532	焦	0b07400ffffc2eaea8bffff81eaea40ffff80eaea80ffffc1496142ceb6c64b34d000000
g233	524	芳	6aeae9bffffe02dac06aaea9bffffe02c00002fff807aab80b00387d0ab8240be0000000
g234	516	決	1d0b000b6ba4223ff8780b381d0b3800bffe0a6ba90e0bd02d2ef478b87d246018000000
g235	504	経	062ffc2e1eacb98b782f82f41e9bbd7eda183fa0e02a8ffc7adae8aaaae95e6ffe000000
g236	500	進	24b4a078fae82afffc02fae469bae4bcbff82cbae42cbffc2eaaa8bbfffd20aaa8000000
g237	498	着	0782d03ffffe1aaea81aaea8bffffe2daaa82eeaac2eeaac7afffc72eaac12eaac000000
g238	496	兼	078780bffffe6aeba92ffff86aebb9bffffe1aebb81bebe41bebe47deb7d14eb14000000
